STATUS,SKU,KATEGORI_CSV,CATEGORY_ID_DB
OK,PP0011003,"CYLINDER SDA PAMY",344
OK,PP0011004,"CYLINDER SDA PAMY",344
OK,PP0011005,"CYLINDER SDA PAMY",344
OK,PP0011006,"CYLINDER SDA PAMY",344
OK,PP0011007,"CYLINDER SDA PAMY",344
OK,PP0011008,"CYLINDER SDA PAMY",344
OK,PP0011009,"CYLINDER SDA PAMY",344
OK,PP0011010,"CYLINDER SDA PAMY",344
OK,PP0011011,"CYLINDER SDA PAMY",344
OK,PP0011012,"CYLINDER SDA PAMY",344
OK,PP0011013,"FLOWCON",345
OK,PP0011014,"SELANG FLEXIBLE",219
OK,PP0011015,"SELANG FLEXIBLE",219
OK,PP0011016,"SELANG FLEXIBLE",219
OK,PP0011017,"SELANG FLEXIBLE",219
OK,PP0011018,"CYLINDER MA PAMY",346
OK,PP0011019,"CYLINDER MA PAMY",346
OK,PP0011020,"CYLINDER MA PAMY",346
OK,PP0011021,"CYLINDER MA PAMY",346
OK,PP0011022,"CYLINDER MA PAMY",346
OK,PP0011023,"CYLINDER MA PAMY",346
OK,PP0011024,"CYLINDER MA PAMY",346
OK,PP0011025,"CYLINDER MA PAMY",346
OK,PP0011026,"CYLINDER MA PAMY",346
OK,PP0011027,"CYLINDER MA PAMY",346
OK,PP0011028,"CYLINDER MA PAMY",346
OK,PP0011029,"CYLINDER MA PAMY",346
OK,PP0011030,"CYLINDER MA PAMY",346
OK,PP0011031,"CYLINDER MA PAMY",346
OK,PP0011032,"CYLINDER MA PAMY",346
OK,PP0011033,"CYLINDER MA PAMY",346
OK,PP0011034,"CYLINDER MA PAMY",346
OK,PP0011035,"CYLINDER MA PAMY",346
OK,PP0011036,"CYLINDER MA PAMY",346
OK,PP0011037,"CYLINDER MA PAMY",346
OK,PP0011038,"CYLINDER MA PAMY",346
OK,PP0011039,"CYLINDER MA PAMY",346
OK,PP0011040,"CYLINDER MA PAMY",346
OK,PP0011041,"CYLINDER MA PAMY",346
OK,PP0011042,"CYLINDER MA PAMY",346
OK,PP0011043,"CYLINDER MA PAMY",346
OK,PP0011044,"CYLINDER MA PAMY",346
OK,PP0011045,"CYLINDER MA PAMY",346
OK,PP0011046,"CYLINDER MA PAMY",346
OK,PP0011047,"CYLINDER MA PAMY",346
OK,PP0011048,"CYLINDER MA PAMY",346
OK,PP0011049,"CYLINDER MA PAMY",346
OK,PP0011050,"CYLINDER MA PAMY",346
OK,PP0011051,"CYLINDER MA PAMY",346
OK,PP0011052,"CYLINDER MA PAMY",346
OK,PP0011053,"CYLINDER MA PAMY",346
OK,PP0011054,"CYLINDER MA PAMY",346
OK,PP0011055,"CYLINDER MA PAMY",346
OK,PP0011056,"CYLINDER MA PAMY",346
OK,PP0011057,"CYLINDER MA PAMY",346
OK,PP0011058,"CYLINDER MA PAMY",346
OK,PP0011059,"CYLINDER MA PAMY",346
OK,PP0011060,"CYLINDER MA PAMY",346
OK,PP0011061,"CYLINDER MA PAMY",346
OK,PP0011062,"CYLINDER MA PAMY",346
OK,PP0011063,"SOLENOID NO PAMY",347
OK,PP0011064,"SOLENOID NO PAMY",347
OK,PP0011065,"SOLENOID NO PAMY",347
OK,PP0011066,"SOLENOID NO PAMY",347
OK,PP0011067,"SOLENOID NO PAMY",347
OK,PP0011068,"SOLENOID NO PAMY",347
OK,PP0011069,"SOLENOID NO PAMY",347
OK,PP0011070,"SOLENOID NO PAMY",347
OK,PP0011071,"SOLENOID NO PAMY",347
OK,PP0011072,"SOLENOID NO PAMY",347
OK,PP0011073,"SOLENOID NO PAMY",347
OK,PP0011074,"SOLENOID NO PAMY",347
OK,PP0011075,"SOLENOID NO PAMY",347
OK,PP0011076,"SOLENOID NO PAMY",347
OK,PP0011077,"CLAMP SANITARY",208
